Date,Open,High,Low,Close
05/06/2019,"5,860","5,880","5,684","5,809"
05/05/2019,"5,798","5,932","5,749","5,860"
05/04/2019,"5,810","5,925","5,643","5,786"
05/03/2019,"5,520","5,909","5,483","5,809"
05/02/2019,"5,409","5,539","5,394","5,520"
05/01/2019,"5,351","5,444","5,351","5,410"
04/30/2019,"5,240","5,389","5,209","5,351"
04/29/2019,"5,237","5,295","5,182","5,240"
04/28/2019,"5,281","5,320","5,226","5,238"
04/27/2019,"5,189","5,294","5,188","5,280"
04/26/2019,"5,508","5,512","5,034","5,189"
04/25/2019,"5,449","5,525","5,384","5,508"
04/24/2019,"5,587","5,632","5,390","5,449"
04/23/2019,"5,381","5,622","5,372","5,587"
04/22/2019,"5,253","5,437","5,247","5,381"
04/21/2019,"5,326","5,349","5,238","5,253"
04/20/2019,"5,276","5,370","5,263","5,326"
04/19/2019,"5,314","5,356","5,211","5,276"
04/18/2019,"5,234","5,320","5,219","5,314"
04/17/2019,"5,197","5,274","5,191","5,235"
04/16/2019,"5,031","5,232","5,016","5,195"
04/15/2019,"5,102","5,198","4,965","5,031"
